,price
2007-01-03,17.240501403808594
2007-01-04,17.183345794677734
2007-01-05,16.89759635925293
2007-01-08,16.846792221069336
2007-01-09,16.92299461364746
2007-01-10,16.738842010498047
2007-01-11,16.891244888305664
2007-01-12,17.069047927856445
2007-01-16,17.1643009185791
2007-01-17,17.069047927856445
2007-01-18,16.973793029785156
2007-01-19,17.20874786376953
2007-01-22,17.011899948120117
2007-01-23,17.138896942138672
2007-01-24,17.240501403808594
2007-01-25,17.043643951416016
2007-01-26,17.056350708007812
2007-01-29,17.132549285888672
2007-01-30,17.367504119873047
2007-01-31,17.500850677490234
2007-02-01,17.640554428100586
2007-02-02,17.602455139160156
2007-02-05,17.538959503173828
2007-02-06,17.602455139160156
2007-02-07,17.69770622253418
2007-02-08,17.742156982421875
2007-02-09,17.577054977416992
2007-02-12,17.558002471923828
2007-02-13,17.761205673217773
2007-02-14,18.053316116333008
2007-02-15,18.07236099243164
2007-02-16,18.07236099243164
2007-02-20,18.17396354675293
2007-02-21,18.066011428833008
2007-02-22,18.110462188720703
2007-02-23,18.21206283569336
2007-02-26,18.27556610107422
2007-02-27,17.450054168701172
2007-02-28,17.52625274658203
2007-03-01,17.22144889831543
2007-03-02,17.03729820251465
2007-03-05,16.71979522705078
2007-03-06,17.145244598388672
2007-03-07,17.183345794677734
2007-03-08,17.44370460510254
2007-03-09,17.44370460510254
2007-03-12,17.577054977416992
2007-03-13,17.132549285888672
2007-03-14,17.145244598388672
2007-03-15,17.246849060058594
2007-03-16,17.348451614379883
2007-03-19,17.589750289916992
2007-03-20,17.742156982421875
2007-03-21,18.129512786865234
2007-03-22,18.135860443115234
2007-03-23,18.21206283569336
2007-03-26,18.19936180114746
2007-03-27,18.250164031982422
2007-03-28,17.99616050720215
2007-03-29,18.28191566467285
2007-03-30,18.30731773376465
2007-04-02,18.510517120361328
2007-04-03,18.732772827148438
2007-04-04,18.77086639404297
2007-04-05,19.05027198791504
2007-04-09,18.980422973632812
2007-04-10,19.145526885986328
2007-04-11,19.03122329711914
2007-04-12,19.24077606201172
2007-04-13,19.386831283569336
2007-04-16,19.736085891723633
2007-04-17,19.729732513427734
2007-04-18,19.7170352935791
2007-04-19,19.539230346679688
2007-04-20,19.780536651611328
2007-04-23,19.666231155395508
2007-04-24,19.653533935546875
2007-04-25,19.90753936767578
2007-04-26,19.913888931274414
2007-04-27,19.95198631286621
2007-04-30,19.939289093017578
2007-05-01,20.06629180908203
2007-05-02,20.034542083740234
2007-05-03,20.00278663635254
2007-05-04,20.161544799804688
2007-05-07,20.19329261779785
2007-05-08,19.939289093017578
2007-05-09,20.009138107299805
2007-05-10,19.494779586791992
2007-05-11,19.977386474609375
2007-05-14,19.812286376953125
2007-05-15,19.932937622070312
2007-05-16,20.00278663635254
2007-05-17,19.945640563964844
2007-05-18,20.282194137573242
2007-05-21,20.18059539794922
2007-05-22,20.256792068481445
2007-05-23,20.52349853515625
2007-05-24,20.23138999938965
2007-05-25,20.49809455871582
2007-05-29,20.542545318603516
2007-05-30,20.606048583984375
2007-05-31,20.999752044677734
2007-06-01,21.16485595703125
2007-06-04,21.16485595703125
2007-06-05,21.006103515625
2007-06-06,20.44729995727539
2007-06-07,19.89483642578125
2007-06-08,20.01548957824707
2007-06-11,20.244096755981445
2007-06-12,19.964691162109375
2007-06-13,20.237741470336914
2007-06-14,20.56794548034668
2007-06-15,21.031505584716797
2007-06-18,21.17755699157715
2007-06-19,21.22200584411621
2007-06-20,20.904502868652344
2007-06-21,20.95530128479004
2007-06-22,20.796550750732422
2007-06-25,20.606048583984375
2007-06-26,20.606048583984375
2007-06-27,20.745752334594727
2007-06-28,20.87910270690918
2007-06-29,21.03784942626953
2007-07-02,21.24740982055664
2007-07-03,21.526813507080078
2007-07-05,21.59031867980957
2007-07-06,21.564916610717773
2007-07-09,21.67921257019043
2007-07-10,21.272808074951172
2007-07-11,21.482364654541016
2007-07-12,22.041168212890625
2007-07-13,21.98401641845703
2007-07-16,21.895118713378906
2007-07-17,21.755413055419922
2007-07-18,21.482364654541016
2007-07-19,21.666513442993164
2007-07-20,21.30455207824707
2007-07-23,21.46331024169922
2007-07-24,20.91085433959961
2007-07-25,20.847352981567383
2007-07-26,20.085342407226562
2007-07-27,19.501134872436523
2007-07-30,20.199642181396484
2007-07-31,20.25044059753418
2007-08-01,20.352046966552734
2007-08-02,20.3774471282959
2007-08-03,20.00278663635254
2007-08-06,20.55524444580078
2007-08-07,20.459999084472656
2007-08-08,20.55524444580078
2007-08-09,19.977386474609375
2007-08-10,19.755138397216797
2007-08-13,19.85038948059082
2007-08-14,19.723390579223633
2007-08-15,19.247129440307617
2007-08-16,19.367773056030273
2007-08-17,19.602737426757812
2007-08-20,19.58368492126465
2007-08-21,19.507484436035156
2007-08-22,20.00278663635254
2007-08-23,19.990089416503906
2007-08-24,20.313941955566406
2007-08-27,19.996442794799805
2007-08-28,19.67893409729004
2007-08-29,20.167888641357422
2007-08-30,20.059940338134766
2007-08-31,20.479045867919922
2007-09-04,20.688600540161133
2007-09-05,20.52984619140625
2007-09-06,20.44729995727539
2007-09-07,20.098039627075195
2007-09-10,19.87578582763672
2007-09-11,20.33299446105957
2007-09-12,20.44094467163086
2007-09-13,20.504446029663086
2007-09-14,20.459999084472656
2007-09-17,20.301246643066406
2007-09-18,21.101354598999023
2007-09-19,21.22835922241211
2007-09-20,21.406158447265625
2007-09-21,21.57126235961914
2007-09-24,21.482364654541016
2007-09-25,21.59031867980957
2007-09-26,21.685562133789062
2007-09-27,21.850664138793945
2007-09-28,21.958614349365234
2007-10-01,22.26342010498047
2007-10-02,22.142770767211914
2007-10-03,21.971315383911133
2007-10-04,22.003068923950195
2007-10-05,22.288822174072266
2007-10-08,22.09832000732422
2007-10-09,22.288822174072266
2007-10-10,22.218975067138672
2007-10-11,22.36502456665039
2007-10-12,22.415822982788086
2007-10-15,22.38406753540039
2007-10-16,22.161823272705078
2007-10-17,22.358675003051758
2007-10-18,22.428525924682617
2007-10-19,21.971315383911133
2007-10-22,21.79351806640625
2007-10-23,22.13007164001465
2007-10-24,22.225318908691406
2007-10-25,22.403121948242188
2007-10-26,22.587278366088867
2007-10-29,22.866682052612305
2007-10-30,22.73332977294922
2007-10-31,23.03813934326172
2007-11-01,22.339624404907227
2007-11-02,22.860328674316406
2007-11-05,22.415822982788086
2007-11-06,22.70157814025879
2007-11-07,22.511075973510742
2007-11-08,22.803176879882812
2007-11-09,22.593629837036133
2007-11-12,22.072917938232422
2007-11-13,22.542823791503906
2007-11-14,22.403121948242188
2007-11-15,21.83796501159668
2007-11-16,22.009416580200195
2007-11-19,21.539506912231445
2007-11-20,22.07927131652832
2007-11-21,21.82526969909668
2007-11-23,22.11101531982422
2007-11-26,21.704614639282227
2007-11-27,21.97766876220703
2007-11-28,22.657129287719727
2007-11-29,22.568233489990234
2007-11-30,22.61267852783203
2007-12-03,22.53648567199707
2007-12-04,22.593629837036133
2007-12-05,22.73332977294922
2007-12-06,22.93653106689453
