,price
2007-01-03,36.10242462158203
2007-01-04,36.015995025634766
2007-01-05,35.55147933959961
2007-01-08,35.59469223022461
2007-01-09,35.57309341430664
2007-01-10,35.195011138916016
2007-01-11,35.421852111816406
2007-01-12,35.8215446472168
2007-01-16,35.7999382019043
2007-01-17,35.583885192871094
2007-01-18,35.508270263671875
2007-01-19,35.9943962097168
2007-01-22,35.86474609375
2007-01-23,36.134830474853516
2007-01-24,36.372474670410156
2007-01-25,35.9079704284668
2007-01-26,35.98359298706055
2007-01-29,35.8863639831543
2007-01-30,35.97278594970703
2007-01-31,36.2968635559082
2007-02-01,36.22124481201172
2007-02-02,36.3616828918457
2007-02-05,36.22124481201172
2007-02-06,36.24284744262695
2007-02-07,36.588531494140625
2007-02-08,36.40489196777344
2007-02-09,36.178043365478516
2007-02-12,36.02680206298828
2007-02-13,36.437294006347656
2007-02-14,36.96662139892578
2007-02-15,36.89100646972656
2007-02-16,36.98823547363281
2007-02-20,36.82619094848633
2007-02-21,36.588531494140625
2007-02-22,36.653350830078125
2007-02-23,36.545326232910156
2007-02-26,36.9126091003418
2007-02-27,35.17338562011719
2007-02-28,35.681114196777344
2007-03-01,35.032955169677734
2007-03-02,34.676456451416016
2007-03-05,34.03910827636719
2007-03-06,34.795291900634766
2007-03-07,34.69807434082031
2007-03-08,35.08696746826172
2007-03-09,35.0545654296875
2007-03-12,35.06536102294922
2007-03-13,34.276771545410156
2007-03-14,34.482025146484375
2007-03-15,34.568443298339844
2007-03-16,34.73048400878906
2007-03-19,35.13018798828125
2007-03-20,35.23820495605469
2007-03-21,36.2320442199707
2007-03-22,36.145626068115234
2007-03-23,36.437294006347656
2007-03-26,36.41570281982422
2007-03-27,36.22124481201172
2007-03-28,36.00519561767578
2007-03-29,36.39408493041992
2007-03-30,36.49131393432617
2007-04-02,36.85859298706055
2007-04-03,37.00984573364258
2007-04-04,37.117862701416016
2007-04-05,37.35552978515625
2007-04-09,37.12866973876953
2007-04-10,37.66880416870117
2007-04-11,37.49595642089844
2007-04-12,37.787628173828125
2007-04-13,38.03609848022461
2007-04-16,38.370967864990234
2007-04-17,38.435791015625
