,price
2007-01-03,16.95244598388672
2007-01-04,16.932096481323242
2007-01-05,16.8167781829834
2007-01-08,16.769289016723633
2007-01-09,16.8167781829834
2007-01-10,16.735370635986328
2007-01-11,16.82356071472168
2007-01-12,17.020288467407227
2007-01-16,17.02707290649414
2007-01-17,17.128828048706055
2007-01-18,17.081340789794922
2007-01-19,17.196664810180664
2007-01-22,17.0542049407959
2007-01-23,17.230588912963867
2007-01-24,17.169525146484375
2007-01-25,17.047420501708984
2007-01-26,16.9592342376709
2007-01-29,17.00672149658203
2007-01-30,17.142393112182617
2007-01-31,17.29163360595703
2007-02-01,17.332340240478516
2007-02-02,17.373037338256836
2007-02-05,17.352689743041992
2007-02-06,17.52227783203125
2007-02-07,17.52227783203125
2007-02-08,17.379825592041016
2007-02-09,17.345903396606445
2007-02-12,17.264495849609375
2007-02-13,17.345903396606445
2007-02-14,17.535852432250977
2007-02-15,17.603689193725586
2007-02-16,17.739356994628906
2007-02-20,17.644380569458008
2007-02-21,17.427309036254883
2007-02-22,17.556198120117188
2007-02-23,17.556198120117188
2007-02-26,17.52227783203125
2007-02-27,16.65396499633789
2007-02-28,16.85747718811035
2007-03-01,16.74894142150879
2007-03-02,16.735370635986328
2007-03-05,16.491161346435547
2007-03-06,16.85747718811035
2007-03-07,17.02707290649414
2007-03-08,17.128828048706055
2007-03-09,17.040639877319336
2007-03-12,17.169525146484375
2007-03-13,16.884614944458008
2007-03-14,16.84391212463379
2007-03-15,16.82356071472168
2007-03-16,16.966014862060547
2007-03-19,17.11525535583496
2007-03-20,17.325551986694336
2007-03-21,17.65117073059082
2007-03-22,17.52227783203125
2007-03-23,17.5629825592041
2007-03-26,17.5629825592041
2007-03-27,17.447660446166992
2007-03-28,17.21701431274414
2007-03-29,17.38660430908203
2007-03-30,17.284852981567383
2007-04-02,17.40017318725586
2007-04-03,17.52227783203125
2007-04-04,17.535852432250977
2007-04-05,17.732576370239258
2007-04-09,17.624040603637695
2007-04-10,17.773273468017578
2007-04-11,17.678306579589844
2007-04-12,17.786842346191406
2007-04-13,17.895381927490234
2007-04-16,18.071760177612305
2007-04-17,18.05141258239746
2007-04-18,18.20743179321289
2007-04-19,18.193864822387695
2007-04-20,18.444862365722656
2007-04-23,18.41094398498535
2007-04-24,18.431297302246094
2007-04-25,18.634807586669922
2007-04-26,18.594106674194336
