,price
2007-01-03,20.21053695678711
2007-01-04,20.057519912719727
2007-01-05,19.798561096191406
2007-01-08,19.792675018310547
2007-01-09,19.845640182495117
2007-01-10,19.651426315307617
2007-01-11,19.88095474243164
2007-01-12,20.0222110748291
2007-01-16,19.9398136138916
2007-01-17,19.857418060302734
2007-01-18,19.798561096191406
2007-01-19,20.02808952331543
2007-01-22,19.857418060302734
2007-01-23,19.98689079284668
2007-01-24,20.145795822143555
2007-01-25,19.839757919311523
2007-01-26,19.92215919494629
2007-01-29,20.03986167907715
2007-01-30,20.151683807373047
2007-01-31,20.216421127319336
2007-02-01,20.340017318725586
2007-02-02,20.310596466064453
2007-02-05,20.23408317565918
2007-02-06,20.257625579833984
2007-02-07,20.46360969543457
2007-02-08,20.375333786010742
2007-02-09,20.257625579833984
2007-02-12,20.134031295776367
2007-02-13,20.404762268066406
2007-02-14,20.710800170898438
2007-02-15,20.663715362548828
2007-02-16,20.699031829833984
2007-02-20,20.663715362548828
2007-02-21,20.622522354125977
2007-02-22,20.681371688842773
2007-02-23,20.734344482421875
2007-02-26,20.83439826965332
2007-02-27,19.81621742248535
2007-02-28,20.06340980529785
2007-03-01,19.751474380493164
2007-03-02,19.53960609436035
2007-03-05,19.245332717895508
2007-03-06,19.733823776245117
2007-03-07,19.757373809814453
2007-03-08,19.9986629486084
2007-03-09,20.004545211791992
2007-03-12,19.9986629486084
2007-03-13,19.51017189025879
2007-03-14,19.551372528076172
2007-03-15,19.686737060546875
2007-03-16,19.7750186920166
2007-03-19,19.957468032836914
2007-03-20,20.187002182006836
2007-03-21,20.663715362548828
2007-03-22,20.551891326904297
2007-03-23,20.65194320678711
2007-03-26,20.657835006713867
2007-03-27,20.61663818359375
2007-03-28,20.398874282836914
2007-03-29,20.699031829833984
2007-03-30,20.704906463623047
2007-04-02,20.86970329284668
2007-04-03,21.040382385253906
2007-04-04,21.15809440612793
2007-04-05,21.31111717224121
2007-04-09,21.269912719726562
2007-04-10,21.428823471069336
2007-04-11,21.205181121826172
2007-04-12,21.475908279418945
2007-04-13,21.617164611816406
2007-04-16,21.876113891601562
2007-04-17,21.905540466308594
2007-04-18,21.87023162841797
2007-04-19,21.864343643188477
2007-04-20,22.217470169067383
2007-04-23,22.029132843017578
2007-04-24,22.017362594604492
2007-04-25,22.388147354125977
2007-04-26,22.25278091430664
2007-04-27,22.276321411132812
2007-04-30,22.276321411132812
2007-05-01,22.211580276489258
2007-05-02,22.405807495117188
2007-05-03,22.405807495117188
2007-05-04,22.71773338317871
2007-05-07,22.747161865234375
2007-05-08,22.5588321685791
2007-05-09,22.61767578125
2007-05-10,22.129194259643555
2007-05-11,22.582365036010742
2007-05-14,22.435230255126953
2007-05-15,22.5588321685791
2007-05-16,22.505855560302734
2007-05-17,22.423460006713867
2007-05-18,22.85309600830078
2007-05-21,22.694196701049805
2007-05-22,22.700077056884766
2007-05-23,22.794248580932617
2007-05-24,22.51763153076172
2007-05-25,22.694196701049805
2007-05-29,22.652996063232422
2007-05-30,22.700077056884766
2007-05-31,22.90605926513672
2007-06-01,23.035539627075195
2007-06-04,23.017885208129883
2007-06-05,22.811899185180664
2007-06-06,22.388147354125977
2007-06-07,21.764286041259766
2007-06-08,22.117416381835938
2007-06-11,22.193927764892578
2007-06-12,21.74664306640625
2007-06-13,22.211580276489258
2007-06-14,22.488195419311523
2007-06-15,22.711843490600586
2007-06-18,22.747161865234375
2007-06-19,22.776578903198242
2007-06-20,22.435230255126953
2007-06-21,22.600027084350586
2007-06-22,22.33517837524414
2007-06-25,22.229232788085938
2007-06-26,22.082103729248047
2007-06-27,22.32929229736328
2007-06-28,22.44700050354004
2007-06-29,22.600027084350586
2007-07-02,22.858980178833008
2007-07-03,23.006122589111328
2007-07-05,22.894296646118164
2007-07-06,23.129711151123047
2007-07-09,23.129711151123047
2007-07-10,22.75893211364746
2007-07-11,23.05908966064453
2007-07-12,23.594663619995117
2007-07-13,23.518150329589844
2007-07-16,23.388669967651367
2007-07-17,23.3356990814209
2007-07-18,23.10028839111328
2007-07-19,23.259191513061523
2007-07-20,22.86486053466797
2007-07-23,23.094398498535156
2007-07-24,22.51173973083496
2007-07-25,22.399919509887695
2007-07-26,21.481796264648438
2007-07-27,21.234607696533203
2007-07-30,21.717208862304688
2007-07-31,21.69955825805664
2007-08-01,21.723094940185547
2007-08-02,21.77606773376465
2007-08-03,21.293460845947266
2007-08-06,21.499448776245117
2007-08-07,21.593616485595703
2007-08-08,22.029132843017578
2007-08-09,21.728975296020508
2007-08-10,20.899137496948242
2007-08-13,20.899137496948242
2007-08-14,20.56955337524414
2007-08-15,19.981006622314453
2007-08-16,19.9986629486084
2007-08-17,20.239967346191406
2007-08-20,20.216421127319336
2007-08-21,20.222309112548828
2007-08-22,20.816736221313477
2007-08-23,20.852054595947266
2007-08-24,21.317001342773438
2007-08-27,21.19928741455078
2007-08-28,20.5754337310791
2007-08-29,21.240493774414062
2007-08-30,21.16986656188965
2007-08-31,21.54652976989746
2007-09-04,21.575960159301758
