,price
2007-01-03,23.018980026245117
2007-01-04,22.970111846923828
2007-01-05,22.530263900756836
2007-01-08,22.62801170349121
2007-01-09,22.481382369995117
2007-01-10,22.422740936279297
2007-01-11,22.725746154785156
2007-01-12,22.940786361694336
2007-01-16,22.940786361694336
2007-01-17,22.940786361694336
2007-01-18,22.891916275024414
2007-01-19,23.14604949951172
2007-01-22,23.028751373291016
2007-01-23,23.224246978759766
2007-01-24,23.370866775512695
2007-01-25,23.018980026245117
2007-01-26,22.950559616088867
2007-01-29,22.940786361694336
2007-01-30,22.999435424804688
2007-01-31,23.03853416442871
2007-02-01,23.16560173034668
2007-02-02,23.282899856567383
2007-02-05,23.20469856262207
2007-02-06,23.302446365356445
2007-02-07,23.40018653869629
2007-02-08,23.243799209594727
2007-02-09,23.08740234375
2007-02-12,23.08740234375
2007-02-13,23.214481353759766
2007-02-14,23.468612670898438
2007-02-15,23.409961700439453
2007-02-16,23.3610897064209
2007-02-20,23.497936248779297
2007-02-21,23.224246978759766
2007-02-22,23.42951202392578
2007-02-23,23.497936248779297
2007-02-26,23.54680633544922
2007-02-27,22.442291259765625
2007-02-28,22.696426391601562
2007-03-01,22.373865127563477
2007-03-02,21.894914627075195
2007-03-05,21.640771865844727
2007-03-06,22.40319061279297
2007-03-07,22.45206069946289
2007-03-08,22.618228912353516
2007-03-09,22.813722610473633
2007-03-12,22.745296478271484
2007-03-13,22.29566764831543
2007-03-14,22.29566764831543
2007-03-15,22.393415451049805
2007-03-16,22.481382369995117
2007-03-19,22.706205368041992
2007-03-20,23.097171783447266
2007-03-21,23.673877716064453
2007-03-22,23.439289093017578
2007-03-23,23.59567642211914
2007-03-26,23.693416595458984
2007-03-27,23.52725601196289
2007-03-28,23.321990966796875
2007-03-29,23.517484664916992
2007-03-30,23.52725601196289
2007-04-02,23.693416595458984
2007-04-03,23.859594345092773
2007-04-04,23.654333114624023
2007-04-05,23.84004020690918
2007-04-09,23.771615982055664
2007-04-10,23.908462524414062
2007-04-11,23.84981346130371
2007-04-12,24.04531478881836
2007-04-13,24.240800857543945
2007-04-16,24.446062088012695
2007-04-17,24.582902908325195
2007-04-18,24.465614318847656
2007-04-19,24.377643585205078
2007-04-20,24.543807983398438
2007-04-23,24.377643585205078
2007-04-24,24.29944610595703
2007-04-25,24.524255752563477
2007-04-26,24.33854103088379
2007-04-27,24.29944610595703
2007-04-30,24.289669036865234
2007-05-01,24.250572204589844
2007-05-02,24.406959533691406
2007-05-03,24.602453231811523
2007-05-04,24.895687103271484
2007-05-07,24.885910034179688
2007-05-08,24.709976196289062
2007-05-09,24.807723999023438
2007-05-10,24.240800857543945
2007-05-11,24.63178062438965
2007-05-14,24.543807983398438
2007-05-15,24.573129653930664
2007-05-16,24.661108016967773
2007-05-17,24.661108016967773
2007-05-18,24.915239334106445
2007-05-21,24.719751358032227
2007-05-22,24.709976196289062
2007-05-23,24.8272705078125
2007-05-24,24.582902908325195
2007-05-25,24.75884437561035
2007-05-29,24.719751358032227
2007-05-30,24.817493438720703
2007-05-31,24.807723999023438
2007-06-01,25.032529830932617
2007-06-04,25.06185531616211
2007-06-05,24.944561004638672
2007-06-06,24.524255752563477
2007-06-07,24.12350082397461
2007-06-08,24.455835342407227
2007-06-11,24.465614318847656
2007-06-12,24.250572204589844
2007-06-13,24.6904239654541
2007-06-14,24.8272705078125
2007-06-15,25.012983322143555
2007-06-18,25.100954055786133
2007-06-19,24.964113235473633
2007-06-20,24.729520797729492
