,price
2008-01-02,86.47132110595703
2008-01-03,86.58797454833984
2008-01-04,86.90470123291016
2008-01-07,86.92141723632812
2008-01-08,86.72968292236328
2008-01-09,87.07975006103516
2008-01-10,87.02974700927734
2008-01-11,87.06307220458984
2008-01-14,87.30477142333984
2008-01-15,87.49646759033203
2008-01-16,87.77152252197266
2008-01-17,87.81320190429688
2008-01-18,87.92152404785156
2008-01-21,88.26326751708984
2008-01-22,87.77152252197266
2008-01-23,88.4049301147461
2008-01-24,87.72981262207031
2008-01-25,87.87152862548828
2008-01-28,88.06322479248047
2008-01-29,87.821533203125
2008-01-30,87.75482177734375
2008-01-31,88.28825378417969
2008-02-01,88.37158966064453
2008-02-04,88.28825378417969
2008-02-05,88.85501861572266
2008-02-06,88.62162780761719
2008-02-07,88.92166900634766
2008-02-08,88.93000030517578
2008-02-11,89.07169342041016
2008-02-12,88.5132827758789
2008-02-13,88.63829803466797
2008-02-14,88.37993621826172
2008-02-15,87.45480346679688
2008-02-18,87.15474700927734
2008-02-19,87.32977294921875
2008-02-20,87.15474700927734
2008-02-21,87.07975006103516
2008-02-22,87.17144012451172
2008-02-25,86.92141723632812
2008-02-26,86.78799438476562
2008-02-27,86.76302337646484
2008-02-28,87.28811645507812
2008-02-29,87.88819885253906
2008-03-03,87.99652862548828
2008-03-04,88.06322479248047
2008-03-05,87.60485076904297
2008-03-06,87.7381820678711
2008-03-07,87.72151184082031
2008-03-10,88.20489501953125
2008-03-11,87.89646911621094
2008-03-12,88.03819274902344
2008-03-13,88.04654693603516
2008-03-14,88.1632308959961
2008-03-17,88.35494232177734
2008-03-18,87.96318054199219
2008-03-19,87.97154998779297
2008-03-20,87.9548568725586
2008-03-25,87.28811645507812
2008-03-26,87.24644470214844
2008-03-27,87.17974090576172
2008-03-28,87.13807678222656
2008-03-31,87.3547592163086
2008-04-01,87.05473327636719
2008-04-02,86.98805236816406
2008-04-03,87.06307220458984
2008-04-04,87.2547607421875
2008-04-07,86.97139739990234
2008-04-08,86.87969970703125
2008-04-09,86.92971801757812
2008-04-10,87.17144012451172
2008-04-11,87.49646759033203
2008-04-14,87.49646759033203
2008-04-15,87.17974090576172
2008-04-16,86.85470581054688
2008-04-17,86.5546646118164
2008-04-18,86.24626922607422
2008-04-21,86.41294860839844
2008-04-22,86.17961883544922
2008-04-23,86.31295776367188
2008-04-24,86.15460968017578
2008-04-25,86.22126770019531
2008-04-28,86.20459747314453
2008-04-29,86.51299285888672
2008-04-30,86.60466003417969
2008-05-02,86.25460052490234
2008-05-05,86.42964935302734
