,price
2008-01-02,29.178499221801758
2008-01-03,29.1385498046875
2008-01-04,28.719139099121094
2008-01-07,28.80569839477539
2008-01-08,28.88558006286621
2008-01-09,28.639259338378906
2008-01-10,28.506118774414062
2008-01-11,28.42621612548828
2008-01-14,28.49946403503418
2008-01-15,27.86702537536621
2008-01-16,27.647340774536133
2008-01-17,27.36774253845215
2008-01-18,26.89507293701172
2008-01-21,24.9511775970459
2008-01-22,25.290695190429688
2008-01-23,24.119022369384766
2008-01-24,25.656843185424805
2008-01-25,25.463777542114258
2008-01-28,25.383892059326172
2008-01-29,25.68346405029297
2008-01-30,25.543663024902344
2008-01-31,25.563640594482422
2008-02-01,26.069583892822266
2008-02-04,26.069583892822266
2008-02-05,25.071002960205078
2008-02-06,25.357263565063477
2008-02-07,24.9511775970459
2008-02-08,24.96449089050293
2008-02-11,24.811370849609375
2008-02-12,25.643522262573242
2008-02-13,25.643522262573242
2008-02-14,25.60356903076172
2008-02-15,25.084314346313477
2008-02-18,25.59026336669922
2008-02-19,25.656843185424805
2008-02-20,25.343942642211914
2008-02-21,25.47709846496582
2008-02-22,25.204151153564453
2008-02-25,25.6102352142334
2008-02-26,25.983036041259766
2008-02-27,25.99635124206543
2008-02-28,25.517024993896484
2008-02-29,25.11760711669922
2008-03-03,24.791406631469727
2008-03-04,24.358686447143555
2008-03-05,24.8513126373291
2008-03-06,24.4052791595459
2008-03-07,24.13233757019043
2008-03-10,23.93262481689453
2008-03-11,24.332054138183594
2008-03-12,24.60499382019043
2008-03-13,24.285451889038086
2008-03-14,24.065763473510742
2008-03-17,22.92738914489746
2008-03-18,23.772851943969727
2008-03-19,23.57979393005371
2008-03-20,23.42002296447754
2008-03-25,24.265470504760742
2008-03-26,24.12568473815918
2008-03-27,24.3919620513916
2008-03-28,24.332054138183594
2008-03-31,24.245508193969727
2008-04-01,25.077659606933594
2008-04-02,25.370574951171875
2008-04-03,25.217456817626953
2008-04-04,25.357263565063477
2008-04-07,25.576948165893555
2008-04-08,25.457120895385742
2008-04-09,25.224119186401367
2008-04-10,25.14423370361328
2008-04-11,24.75811195373535
2008-04-14,24.565061569213867
2008-04-15,24.691547393798828
2008-04-16,25.077659606933594
2008-04-17,24.924543380737305
2008-04-18,25.517024993896484
2008-04-21,25.27072525024414
2008-04-22,25.04438018798828
