,price
2008-01-02,123.96442413330078
2008-01-03,123.96442413330078
2008-01-04,123.7485122680664
2008-01-07,123.8048324584961
2008-01-08,123.814208984375
2008-01-09,123.93626403808594
2008-01-10,123.93626403808594
2008-01-11,123.95503997802734
2008-01-14,124.15216827392578
2008-01-15,124.14277648925781
2008-01-16,124.33055114746094
2008-01-17,124.38687133789062
2008-01-18,124.5746078491211
2008-01-21,124.72482299804688
2008-01-22,126.7337875366211
2008-01-23,124.82808685302734
2008-01-24,124.87503051757812
2008-01-25,124.5840072631836
2008-01-28,124.893798828125
2008-01-29,124.66849517822266
2008-01-30,124.74359130859375
2008-01-31,124.84686279296875
2008-02-01,124.83747863769531
2008-02-04,124.82808685302734
2008-02-05,124.94075012207031
2008-02-06,125.25992584228516
2008-02-07,125.1660385131836
2008-02-08,125.41950988769531
2008-02-11,125.42889404296875
2008-02-12,125.41012573242188
2008-02-13,125.46643829345703
2008-02-14,125.39134979248047
2008-02-15,125.34440612792969
2008-02-18,125.40074920654297
2008-02-19,125.2974624633789
2008-02-20,125.24115753173828
2008-02-21,125.13788604736328
2008-02-22,125.13788604736328
2008-02-25,125.04399871826172
2008-02-26,125.07217407226562
2008-02-27,123.09136199951172
2008-02-28,123.91748046875
2008-02-29,123.40116882324219
2008-03-03,123.44808959960938
2008-03-04,123.32604217529297
2008-03-05,123.32604217529297
2008-03-06,123.21339416503906
2008-03-07,123.23219299316406
2008-03-10,123.29789733886719
2008-03-11,123.17585754394531
2008-03-12,123.04443359375
2008-03-13,123.26972961425781
2008-03-14,123.22278594970703
2008-03-17,123.44808959960938
2008-03-18,123.51382446289062
2008-03-19,123.29789733886719
2008-03-20,123.12893676757812
2008-03-25,122.81912994384766
2008-03-26,122.82850646972656
2008-03-27,122.90361022949219
2008-03-28,122.95993041992188
2008-03-31,122.9693374633789
2008-04-01,122.86608123779297
2008-04-02,122.73464965820312
2008-04-03,122.80035400390625
2008-04-04,122.83790588378906
2008-04-07,122.73464965820312
2008-04-08,122.80035400390625
2008-04-09,122.88481903076172
2008-04-10,122.92239379882812
2008-04-11,122.92239379882812
2008-04-14,123.04443359375
2008-04-15,123.06320190429688
2008-04-16,122.92239379882812
2008-04-17,122.56564331054688
2008-04-18,122.5186996459961
2008-04-21,122.38728332519531
2008-04-22,122.24647521972656
2008-04-23,122.45301055908203
2008-04-24,122.3779067993164
2008-04-25,122.3779067993164
2008-04-28,122.62197875976562
2008-04-29,122.54686737060547
2008-04-30,122.60323333740234
2008-05-02,122.83790588378906
2008-05-05,122.73464965820312
2008-05-06,122.70648193359375
2008-05-07,122.73464965820312
2008-05-08,122.8472900390625
2008-05-09,122.95993041992188
2008-05-12,122.88481903076172
2008-05-13,122.89423370361328
2008-05-14,122.65013885498047
2008-05-15,122.45301055908203
2008-05-16,122.52811431884766
2008-05-19,122.4154281616211
2008-05-20,122.48116302490234
2008-05-21,122.4154281616211
2008-05-22,122.19953918457031
2008-05-23,122.29342651367188
2008-05-26,122.24647521972656
2008-05-27,122.33097076416016
2008-05-28,122.22769165039062
2008-05-29,122.32159423828125
2008-05-30,122.10565948486328
2008-06-02,122.2746353149414
2008-06-03,122.0587387084961
2008-06-04,122.14320373535156
2008-06-05,122.19015502929688
2008-06-06,121.56119537353516
2008-06-09,121.55177307128906
2008-06-10,121.4579086303711
2008-06-11,121.53302001953125
2008-06-12,121.61750030517578
2008-06-13,121.55177307128906
2008-06-16,121.60810852050781
2008-06-17,121.57994079589844
2008-06-18,121.62689208984375
2008-06-19,121.55177307128906
2008-06-20,121.71137237548828
2008-06-23,121.79586029052734
2008-06-24,121.85220336914062
2008-06-25,121.861572265625
2008-06-26,121.98362731933594
2008-06-27,122.22769165039062
