,price
2007-01-11,31.28414535522461
2007-01-12,31.281034469604492
2007-01-16,31.28726577758789
2007-01-17,31.281034469604492
2007-01-18,31.274765014648438
2007-01-19,31.281034469604492
2007-01-22,31.281034469604492
2007-01-23,31.28726577758789
2007-01-24,31.274765014648438
2007-01-25,31.262304306030273
2007-01-26,31.265403747558594
2007-01-29,31.24355697631836
2007-01-30,31.331008911132812
2007-01-31,31.324752807617188
2007-02-01,31.34227180480957
2007-02-02,31.376728057861328
2007-02-05,31.373600006103516
2007-02-06,31.3516788482666
2007-02-07,31.41432762145996
2007-02-08,31.420610427856445
2007-02-09,31.37984848022461
2007-02-12,31.398651123046875
2007-02-13,31.389266967773438
2007-02-14,31.423704147338867
2007-02-15,31.461273193359375
2007-02-16,31.483234405517578
2007-02-20,31.49262237548828
2007-02-21,31.505142211914062
2007-02-22,31.467552185058594
2007-02-23,31.514522552490234
2007-02-26,31.558399200439453
2007-02-27,31.655427932739258
2007-02-28,31.64604949951172
2007-03-01,31.54389190673828
2007-03-02,31.72308349609375
2007-03-05,31.757667541503906
2007-03-06,31.72937774658203
2007-03-07,31.779672622680664
2007-03-08,31.71050262451172
2007-03-09,31.707374572753906
2007-03-12,31.694801330566406
2007-03-13,31.72308349609375
2007-03-14,31.776514053344727
2007-03-15,31.741968154907227
2007-03-16,31.748271942138672
2007-03-19,31.741968154907227
2007-03-20,31.716812133789062
2007-03-21,31.76395606994629
2007-03-22,31.73566246032715
2007-03-23,31.72937774658203
2007-03-26,31.74510955810547
2007-03-27,31.751380920410156
2007-03-28,31.767087936401367
2007-03-29,31.760793685913086
2007-03-30,31.754505157470703
2007-04-02,31.708738327026367
2007-04-03,31.72136878967285
2007-04-04,31.740345001220703
2007-04-05,31.734018325805664
2007-04-09,31.692951202392578
2007-04-10,31.730810165405273
2007-04-11,31.711915969848633
2007-04-12,31.72770881652832
2007-04-13,31.686635971069336
2007-04-16,31.734018325805664
2007-04-17,31.765567779541016
2007-04-18,31.80980110168457
2007-04-19,31.806598663330078
2007-04-20,31.784517288208008
2007-04-23,31.79084587097168
2007-04-24,31.82554054260254
2007-04-25,31.835018157958984
2007-04-26,31.81607437133789
2007-04-27,31.759286880493164
2007-04-30,31.828689575195312
2007-05-01,31.82362174987793
2007-05-02,31.817302703857422
2007-05-03,31.8267765045166
2007-05-04,31.83949089050293
2007-05-07,31.852134704589844
2007-05-08,31.83949089050293
2007-05-09,31.829988479614258
2007-05-10,31.85845947265625
2007-05-11,31.8553524017334
2007-05-14,31.84581184387207
2007-05-15,31.852134704589844
2007-05-16,31.80462646484375
2007-05-17,31.836294174194336
2007-05-18,31.833154678344727
2007-05-21,31.836294174194336
2007-05-22,31.836294174194336
2007-05-23,31.807790756225586
2007-05-24,31.83949089050293
2007-05-25,31.820453643798828
2007-05-29,31.82362174987793
2007-05-30,31.814102172851562
2007-05-31,31.8267765045166
2007-06-01,31.78068733215332
2007-06-04,31.7679386138916
2007-06-05,31.771106719970703
2007-06-06,31.80611228942871
2007-06-07,31.77431869506836
2007-06-08,31.796550750732422
2007-06-11,31.78068733215332
2007-06-12,31.726573944091797
2007-06-13,31.726573944091797
2007-06-14,31.74247169494629
2007-06-15,31.77431869506836
2007-06-18,31.77431869506836
2007-06-19,31.822040557861328
2007-06-20,31.837947845458984
2007-06-21,31.844310760498047
2007-06-22,31.837947845458984
2007-06-25,31.87612533569336
2007-06-26,31.90477180480957
2007-06-27,31.92385482788086
2007-06-28,31.911148071289062
2007-06-29,31.968420028686523
2007-07-02,31.9636287689209
2007-07-03,31.979604721069336
2007-07-05,31.934873580932617
2007-07-06,31.880544662475586
2007-07-09,31.918893814086914
2007-07-10,31.979604721069336
2007-07-11,31.985980987548828
2007-07-12,31.954051971435547
2007-07-13,31.92849349975586
2007-07-16,31.966814041137695
2007-07-17,31.982791900634766
2007-07-18,32.02751541137695
2007-07-19,31.998769760131836
2007-07-20,32.069053649902344
2007-07-23,32.07222366333008
2007-07-24,32.05946350097656
2007-07-25,32.06265640258789
2007-07-26,32.08823013305664
2007-07-27,32.1712532043457
2007-07-30,32.15847396850586
2007-07-31,32.12016677856445
2007-08-01,32.115360260009766
2007-08-02,32.14423370361328
2007-08-03,32.205196380615234
2007-08-06,32.14423370361328
2007-08-07,32.099308013916016
2007-08-08,32.112152099609375
2007-08-09,32.13460922241211
2007-08-10,32.1699104309082
2007-08-13,32.16347122192383
2007-08-14,32.185909271240234
2007-08-15,32.221248626708984
2007-08-16,32.15385437011719
2007-08-17,32.218021392822266
2007-08-20,32.2501106262207
2007-08-21,32.2853889465332
2007-08-22,32.240482330322266
2007-08-23,32.224430084228516
2007-08-24,32.201988220214844
2007-08-27,32.17951202392578
2007-08-28,32.29179763793945
2007-08-29,32.25334548950195
2007-08-30,32.30143356323242
2007-08-31,32.29179763793945
2007-09-04,32.261192321777344
2007-09-05,32.34173583984375
2007-09-06,32.29987335205078
2007-09-07,32.396522521972656
2007-09-10,32.38041305541992
2007-09-11,32.3610954284668
2007-09-12,32.364315032958984
2007-09-13,32.28053283691406
2007-09-14,32.283775329589844
2007-09-17,32.31598663330078
2007-09-18,32.377174377441406
2007-09-19,32.39009094238281
2007-09-20,32.38041305541992
2007-09-21,32.44808578491211
2007-09-24,32.41264343261719
2007-09-25,32.473846435546875
2007-09-26,32.496402740478516
2007-09-27,32.518959045410156
2007-09-28,32.51251220703125
2007-10-01,32.48469543457031
2007-10-02,32.51378631591797
2007-10-03,32.51056671142578
2007-10-04,32.51056671142578
2007-10-05,32.4943962097168
2007-10-08,32.53968811035156
2007-10-09,32.47820281982422
2007-10-10,32.48792266845703
2007-10-11,32.49762725830078
2007-10-12,32.474979400634766
2007-10-15,32.48792266845703
2007-10-16,32.526763916015625
2007-10-17,32.62056350708008
2007-10-18,32.65291213989258
2007-10-19,32.74027633666992
2007-10-22,32.67879867553711
2007-10-23,32.6884880065918
2007-10-24,32.75642776489258
2007-10-25,32.74027633666992
2007-10-26,32.74027633666992
2007-10-29,32.72086715698242
2007-10-30,32.72086715698242
2007-10-31,32.66264343261719
2007-11-01,32.7675666809082
2007-11-02,32.780555725097656
2007-11-05,32.780555725097656
2007-11-06,32.74155807495117
2007-11-07,32.79681396484375
2007-11-08,32.83576965332031
2007-11-09,32.88450622558594
2007-11-12,32.955936431884766
2007-11-13,32.809791564941406
2007-11-14,32.848777770996094
2007-11-15,32.96571350097656
2007-11-16,32.96571350097656
2007-11-19,33.05341720581055
2007-11-20,33.01769256591797
2007-11-21,33.05341720581055
2007-11-23,33.01118850708008
2007-11-26,33.08915710449219
2007-11-27,32.95922088623047
2007-11-28,32.92672348022461
2007-11-29,33.085899353027344
2007-11-30,33.02090835571289
2007-12-03,33.09952926635742
2007-12-04,33.141883850097656
2007-12-05,33.138633728027344
2007-12-06,33.053863525390625
2007-12-07,32.98542022705078
2007-12-10,32.94303512573242
2007-12-11,33.12559127807617
2007-12-12,33.07017517089844
2007-12-13,32.94628143310547
2007-12-14,32.87455749511719
2007-12-17,32.9593391418457
2007-12-18,32.96910858154297
2007-12-19,33.053863525390625
2007-12-20,33.044071197509766
2007-12-21,32.998416900634766
2007-12-24,32.965858459472656
2007-12-26,32.94954299926758
2007-12-27,33.00252914428711
2007-12-28,33.02873229980469
2007-12-31,33.05488967895508
2008-01-02,33.172637939453125
2008-01-03,33.21189880371094
2008-01-04,33.254459381103516
2008-01-07,33.27736282348633
2008-01-08,33.28385543823242
2008-01-09,33.254459381103516
2008-01-10,33.25117874145508
2008-01-11,33.43107604980469
2008-01-14,33.4442138671875
2008-01-15,33.4081916809082
2008-01-16,33.4409065246582
2008-01-17,33.516151428222656
2008-01-18,33.581581115722656
2008-01-22,33.666648864746094
2008-01-23,33.59794998168945
2008-01-24,33.67972946166992
2008-01-25,33.8171272277832
2008-01-28,33.794254302978516
2008-01-29,33.78441619873047
2008-01-30,33.89563751220703
2008-01-31,33.75497055053711
2008-02-01,33.78908157348633
2008-02-04,33.78908157348633
2008-02-05,33.85472869873047
2008-02-06,33.8022346496582
2008-02-07,33.8022346496582
2008-02-08,33.86129379272461
2008-02-11,33.8580322265625
2008-02-12,33.89082336425781
2008-02-13,33.930206298828125
2008-02-14,33.94003677368164
2008-02-15,33.94333267211914
2008-02-19,33.81864929199219
2008-02-20,33.77599334716797
2008-02-21,33.86459732055664
2008-02-22,33.812068939208984
2008-02-25,33.805503845214844
2008-02-26,33.91050338745117
2008-02-27,33.930206298828125
2008-02-28,33.94990539550781
2008-02-29,34.06473159790039
2008-03-03,34.03545379638672
2008-03-04,34.0091552734375
2008-03-05,33.95980453491211
2008-03-06,34.00581741333008
2008-03-07,34.00581741333008
2008-03-10,34.01244354248047
2008-03-11,33.8610954284668
2008-03-12,33.940040588378906
2008-03-13,33.8018913269043
2008-03-14,33.93018341064453
2008-03-17,33.91042709350586
2008-03-18,33.943336486816406
2008-03-19,33.90715408325195
2008-03-20,33.76238250732422
2008-03-24,33.77226257324219
2008-03-25,33.83477783203125
2008-03-26,33.76567840576172
2008-03-27,33.86769104003906
2008-03-28,33.88412857055664
