,price
2008-01-02,6.3961501121521
2008-01-03,6.4585700035095215
2008-01-04,6.327929973602295
2008-01-07,6.311319828033447
2008-01-08,6.335569858551025
2008-01-09,6.25246000289917
2008-01-10,6.202589988708496
2008-01-11,6.181779861450195
2008-01-14,6.1951398849487305
2008-01-15,6.005799770355225
2008-01-16,5.924930095672607
2008-01-17,5.884250164031982
2008-01-18,5.883590221405029
2008-01-21,5.5614399909973145
2008-01-22,5.722320079803467
2008-01-23,5.592199802398682
2008-01-24,5.857570171356201
2008-01-25,5.850299835205078
2008-01-28,5.770279884338379
2008-01-29,5.866300106048584
2008-01-30,5.819220066070557
2008-01-31,5.861690044403076
2008-02-01,6.010000228881836
2008-02-04,6.007150173187256
2008-02-05,5.849380016326904
2008-02-06,5.865839958190918
2008-02-07,5.715000152587891
2008-02-08,5.773540019989014
2008-02-11,5.6981201171875
2008-02-12,5.899680137634277
2008-02-13,5.873589992523193
2008-02-14,5.872829914093018
2008-02-15,5.781139850616455
2008-02-18,5.939879894256592
2008-02-19,5.959909915924072
2008-02-20,5.895020008087158
2008-02-21,5.933300018310547
2008-02-22,5.889319896697998
2008-02-25,6.00029993057251
2008-02-26,6.088099956512451
2008-02-27,6.055019855499268
2008-02-28,5.944519996643066
2008-02-29,5.863059997558594
2008-03-03,5.7975897789001465
2008-03-04,5.746890068054199
2008-03-05,5.862259864807129
2008-03-06,5.775350093841553
2008-03-07,5.7082200050354
2008-03-10,5.64084005355835
2008-03-11,5.6986799240112305
2008-03-12,5.79265022277832
2008-03-13,5.708740234375
2008-03-14,5.64792013168335
2008-03-17,5.430019855499268
2008-03-18,5.620999813079834
2008-03-19,5.571849822998047
2008-03-20,5.521460056304932
2008-03-25,5.715539932250977
2008-03-26,5.690450191497803
2008-03-27,5.7477498054504395
2008-03-28,5.722919940948486
2008-03-31,5.73183012008667
2008-04-01,5.8832502365112305
2008-04-02,5.947020053863525
2008-04-03,5.9221601486206055
2008-04-04,5.978079795837402
2008-04-07,6.045899868011475
2008-04-08,6.020989894866943
2008-04-09,6.0177202224731445
2008-04-10,5.998859882354736
2008-04-11,5.928579807281494
2008-04-14,5.864220142364502
2008-04-15,5.939849853515625
2008-04-16,6.083660125732422
2008-04-17,6.017429828643799
2008-04-18,6.093939781188965
2008-04-21,6.090050220489502
2008-04-22,6.071589946746826
2008-04-23,6.125699996948242
2008-04-24,6.092559814453125
2008-04-25,6.133440017700195
2008-04-28,6.132199764251709
2008-04-29,6.131050109863281
