,price
2000-01-03,80.1313247680664
2000-01-04,74.6341781616211
2000-01-05,72.73133087158203
2000-01-06,67.7363052368164
2000-01-07,76.11417388916016
2000-01-10,78.22843933105469
2000-01-11,74.4227294921875
2000-01-12,72.78417205810547
2000-01-13,77.1712875366211
2000-01-14,78.96845245361328
2000-01-18,79.39131927490234
2000-01-19,81.18843078613281
2000-01-20,80.39563751220703
2000-01-21,81.3998794555664
2000-01-24,77.48844909667969
2000-01-25,78.65127563476562
2000-01-26,75.47988891601562
2000-01-27,76.5898666381836
2000-01-28,72.73133087158203
2000-01-31,75.84986114501953
2000-02-01,77.88488006591797
2000-02-02,78.54557800292969
2000-02-03,81.61131286621094
2000-02-04,82.16630554199219
2000-02-07,83.30272674560547
2000-02-08,86.79133605957031
2000-02-09,83.72560119628906
2000-02-10,86.47418975830078
2000-02-11,84.46561431884766
2000-02-14,84.35987854003906
2000-02-15,84.96768951416016
2000-02-16,84.5713119506836
2000-02-17,86.3684310913086
2000-02-18,83.24987030029297
2000-02-22,83.51417541503906
2000-02-23,88.16557312011719
2000-02-24,90.06842803955078
2000-02-25,88.00699615478516
2000-02-28,87.95415496826172
2000-02-29,90.27987670898438
2000-03-01,91.01986694335938
2000-03-02,88.91217041015625
2000-03-03,93.92703247070312
2000-03-06,94.66702270507812
2000-03-07,93.23985290527344
2000-03-08,94.08557891845703
2000-03-09,97.25699615478516
2000-03-10,96.83411407470703
2000-03-13,94.2969970703125
2000-03-14,90.80844116210938
2000-03-15,87.00276947021484
2000-03-16,91.97125244140625
2000-03-17,93.71558380126953
2000-03-20,91.07272338867188
2000-03-21,94.5084457397461
2000-03-22,96.41127014160156
2000-03-23,98.1026840209961
2000-03-24,99.42415618896484
2000-03-27,99.58270263671875
2000-03-28,97.0455551147461
2000-03-29,93.02842712402344
2000-03-30,90.70269775390625
2000-03-31,92.60558319091797
2000-04-03,87.05558013916016
2000-04-04,86.20984649658203
2000-04-05,84.67701721191406
2000-04-06,86.68557739257812
2000-04-07,90.17416381835938
2000-04-10,84.67701721191406
2000-04-11,82.66847229003906
2000-04-12,77.80560302734375
2000-04-13,74.4227294921875
2000-04-14,67.97417449951172
2000-04-17,75.79702758789062
2000-04-18,77.80560302734375
2000-04-19,75.42708587646484
2000-04-20,73.78844451904297
2000-04-24,71.67415618896484
2000-04-25,76.51058197021484
2000-04-26,73.89415740966797
2000-04-27,77.1712875366211
2000-04-28,80.1313247680664
2000-05-01,80.87129211425781
2000-05-02,76.21988677978516
2000-05-03,75.3741455078125
2000-05-04,75.53275299072266
2000-05-05,77.32986450195312
2000-05-08,74.3170394897461
2000-05-09,72.73133087158203
2000-05-10,67.44558715820312
2000-05-11,71.56846618652344
2000-05-12,71.56846618652344
2000-05-15,74.68704986572266
2000-05-16,76.80130767822266
2000-05-17,75.21563720703125
2000-05-18,72.51991271972656
2000-05-19,69.08419799804688
2000-05-22,69.03132629394531
2000-05-23,63.26992416381836
2000-05-24,67.23419189453125
2000-05-25,65.75419616699219
2000-05-26,65.75419616699219
2000-05-30,72.36133575439453
2000-05-31,70.29986572265625
2000-06-01,73.89415740966797
2000-06-02,79.17990112304688
2000-06-05,79.37809753417969
2000-06-06,77.1712875366211
2000-06-07,79.23274230957031
2000-06-08,78.86271667480469
2000-06-09,79.28559875488281
2000-06-12,76.74842071533203
2000-06-13,79.7084732055664
2000-06-14,77.91130065917969
2000-06-15,79.28559875488281
2000-06-16,79.7084732055664
2000-06-19,82.87986755371094
2000-06-20,82.56272888183594
2000-06-21,83.61988830566406
2000-06-22,80.55415344238281
2000-06-23,77.3827133178711
2000-06-26,79.49700927734375
2000-06-27,78.54557800292969
2000-06-28,79.49700927734375
2000-06-29,77.50166320800781
2000-06-30,79.0213394165039
2000-07-03,80.55415344238281
2000-07-05,77.43559265136719
2000-07-06,79.49700927734375
2000-07-07,81.13556671142578
2000-07-10,79.90666961669922
2000-07-11,80.34273529052734
2000-07-12,82.24559020996094
2000-07-13,83.30272674560547
2000-07-14,85.09982299804688
2000-07-17,86.05128479003906
2000-07-18,84.1484603881836
2000-07-19,82.24559020996094
2000-07-20,84.88843536376953
2000-07-21,82.03414916992188
2000-07-24,80.34273529052734
2000-07-25,80.97696685791016
2000-07-26,80.87129211425781
2000-07-27,77.69989776611328
2000-07-28,73.47126770019531
2000-07-31,75.63845825195312
2000-08-01,74.6341781616211
2000-08-02,73.31273651123047
2000-08-03,76.48416137695312
2000-08-04,76.21988677978516
2000-08-07,78.01701354980469
2000-08-08,79.60274505615234
2000-08-09,77.48844909667969
2000-08-10,75.95559692382812
2000-08-11,77.01274871826172
2000-08-14,78.65127563476562
2000-08-15,78.65127563476562
2000-08-16,79.44414520263672
2000-08-17,80.97696685791016
2000-08-18,80.55415344238281
2000-08-21,80.7656021118164
2000-08-22,80.7656021118164
2000-08-23,82.08700561523438
2000-08-24,83.3555679321289
2000-08-25,82.9062728881836
2000-08-28,83.30272674560547
2000-08-29,83.72560119628906
2000-08-30,83.61988830566406
2000-08-31,85.945556640625
2000-09-01,86.79133605957031
2000-09-05,84.1484603881836
2000-09-06,81.18843078613281
