,price
1999-01-04,76.67754364013672
1999-01-05,77.55393981933594
1999-01-06,79.42362213134766
1999-01-07,79.03410339355469
1999-01-08,79.61840057373047
1999-01-11,78.85884857177734
1999-01-12,77.43709564208984
1999-01-13,76.89171600341797
1999-01-14,75.54788208007812
1999-01-15,77.5149917602539
1999-01-19,78.02137756347656
1999-01-20,78.64462280273438
1999-01-21,76.56063842773438
1999-01-22,76.3853759765625
1999-01-25,77.1644058227539
1999-01-26,78.56670379638672
1999-01-27,77.65129089355469
1999-01-28,78.95621490478516
1999-01-29,79.55998229980469
1999-02-01,79.09254455566406
1999-02-02,78.60562896728516
1999-02-03,79.4041748046875
1999-02-04,78.21614074707031
1999-02-05,77.32022094726562
1999-02-08,77.47604370117188
1999-02-09,75.74266052246094
1999-02-10,76.22956085205078
1999-02-11,77.98237609863281
1999-02-12,77.04755401611328
1999-02-16,76.58012390136719
1999-02-17,76.50224304199219
1999-02-18,77.10596466064453
1999-02-19,77.43709564208984
1999-02-22,79.50154113769531
1999-02-23,79.46263885498047
1999-02-24,78.0602798461914
1999-02-25,77.32022094726562
1999-02-26,77.00862884521484
1999-03-01,77.22283935546875
1999-03-02,76.54117584228516
1999-03-03,76.95015716552734
1999-03-04,77.9239730834961
1999-03-05,79.49181365966797
1999-03-08,80.00792694091797
1999-03-09,79.81318664550781
1999-03-10,80.5143051147461
1999-03-11,81.41021728515625
1999-03-12,80.63114929199219
1999-03-15,81.7802505493164
1999-03-16,81.4686279296875
1999-03-17,81.11804962158203
1999-03-18,82.4229736328125
1999-03-19,81.02194213867188
1999-03-22,81.17814636230469
1999-03-23,78.83536529541016
1999-03-24,79.28438568115234
1999-03-25,80.90486907958984
1999-03-26,80.31912231445312
1999-03-29,81.93960571289062
1999-03-30,81.51006317138672
1999-03-31,80.20199584960938
1999-04-01,80.80724334716797
1999-04-05,82.72050476074219
1999-04-06,82.52522277832031
1999-04-07,83.18912506103516
1999-04-08,84.24334716796875
1999-04-09,84.26284790039062
