,price
1998-12-22,5.873080730438232
1998-12-23,5.848467826843262
1998-12-24,5.956146240234375
1998-12-28,5.925382137298584
1998-12-29,6.023829936981201
1998-12-30,5.974606037139893
1998-12-31,5.953071117401123
1999-01-04,5.857696533203125
1999-01-05,5.928459644317627
1999-01-06,5.989985466003418
1999-01-07,5.968453407287598
1999-01-08,6.002295017242432
1999-01-11,5.842315196990967
1999-01-12,5.845391750335693
1999-01-13,5.8853864669799805
1999-01-14,5.7869391441345215
1999-01-15,5.8146281242370605
1999-01-19,6.011523246765137
1999-01-20,5.986910820007324
1999-01-21,5.9653754234313965
1999-01-22,6.005368232727051
1999-01-25,5.780784606933594
1999-01-26,5.894614219665527
1999-01-27,5.805395603179932
1999-01-28,5.8146281242370605
1999-01-29,5.805395603179932
1999-02-01,5.793092250823975
1999-02-02,5.716179847717285
1999-02-03,5.746940612792969
1999-02-04,5.660799980163574
1999-02-05,5.663875102996826
1999-02-08,5.663875102996826
1999-02-09,5.688488960266113
1999-02-10,5.648494243621826
1999-02-11,5.673105239868164
1999-02-12,5.580810546875
1999-02-16,5.682336330413818
1999-02-17,5.642343521118164
1999-02-18,5.74386739730835
1999-02-19,5.682336330413818
1999-02-22,5.8669281005859375
1999-02-23,5.682336330413818
1999-02-24,5.7346391677856445
1999-02-25,5.611574649810791
1999-02-26,5.645418643951416
1999-03-01,5.562351226806641
1999-03-02,5.479284286499023
1999-03-03,5.482363224029541
1999-03-04,5.568503379821777
1999-03-05,5.663875102996826
1999-03-08,5.599267959594727
1999-03-09,5.583887100219727
1999-03-10,5.5654296875
1999-03-11,5.6085004806518555
1999-03-12,5.670030117034912
1999-03-15,5.685412883758545
1999-03-16,5.663875102996826
1999-03-17,5.611574649810791
1999-03-18,5.694643497467041
1999-03-19,5.5896501541137695
1999-03-22,5.608231067657471
1999-03-23,5.431715965270996
1999-03-24,5.506036758422852
1999-03-25,5.487456321716309
1999-03-26,5.416233062744141
1999-03-29,5.388360500335693
1999-03-30,5.3016510009765625
1999-03-31,5.289265155792236
1999-04-01,5.400745391845703
1999-04-05,5.444103240966797
1999-04-06,5.416233062744141
1999-04-07,5.487456321716309
1999-04-08,5.633003234863281
1999-04-09,5.592746734619141
1999-04-12,5.673259735107422
1999-04-13,5.580360412597656
1999-04-14,5.499844551086426
1999-04-15,5.555583953857422
1999-04-16,5.617520809173584
1999-04-19,5.673259735107422
1999-04-20,5.735195636749268
1999-04-21,5.837391376495361
1999-04-22,5.81881046295166
1999-04-23,5.815711975097656
1999-04-26,5.784743785858154
1999-04-27,5.81881046295166
1999-04-28,5.794035911560059
1999-04-29,5.877646446228027
1999-04-30,5.800228595733643
1999-05-03,5.88693904876709
1999-05-04,5.837391376495361
1999-05-05,5.883842945098877
1999-05-06,5.759973049163818
1999-05-07,5.831197738647461
1999-05-10,5.815711975097656
1999-05-11,5.837391376495361
1999-05-12,5.85287618637085
1999-05-13,5.930293083190918
1999-05-14,5.81881046295166
1999-05-17,5.939582347869873
1999-05-18,5.8095197677612305
1999-05-19,5.930293083190918
1999-05-20,5.917906284332275
1999-05-21,5.862164497375488
1999-05-24,5.921002388000488
1999-05-25,5.927197456359863
1999-05-26,5.958165168762207
1999-05-27,5.855971813201904
1999-05-28,5.868359088897705
1999-06-01,5.865260601043701
1999-06-02,5.865260601043701
1999-06-03,5.8095197677612305
1999-06-04,5.896225929260254
1999-06-07,5.945774555206299
1999-06-08,5.945774555206299
1999-06-09,5.99222993850708
1999-06-10,5.942681789398193
1999-06-11,5.902420520782471
1999-06-14,6.066551208496094
1999-06-15,6.072743892669678
1999-06-16,6.131581783294678
1999-06-17,6.078940391540527
1999-06-18,6.100647449493408
1999-06-21,6.053910732269287
1999-06-22,6.032100677490234
1999-06-23,6.013404369354248
1999-06-24,5.947977542877197
1999-06-25,5.9168171882629395
1999-06-28,5.979135036468506
1999-06-29,5.9822468757629395
1999-06-30,6.109994888305664
1999-07-01,6.0881829261779785
1999-07-02,6.0913004875183105
1999-07-06,6.072606086730957
1999-07-07,6.128688335418701
1999-07-08,6.078839302062988
1999-07-09,6.078839302062988
1999-07-12,6.053910732269287
1999-07-13,6.0258684158325195
1999-07-14,6.063258647918701
1999-07-15,6.156732559204102
1999-07-16,6.228391647338867
1999-07-19,6.16919469833374
1999-07-20,6.197237968444824
1999-07-21,6.234625339508057
1999-07-22,6.225278854370117
1999-07-23,6.18477201461792
1999-07-26,6.194120407104492
1999-07-27,6.231507301330566
1999-07-28,6.219045639038086
1999-07-29,6.11622953414917
1999-07-30,6.128688335418701
1999-08-02,6.222162246704102
1999-08-03,6.181658744812012
1999-08-04,6.0881829261779785
1999-08-05,6.144268035888672
1999-08-06,6.119344234466553
1999-08-09,6.144268035888672
1999-08-10,6.032100677490234
1999-08-11,6.000945091247559
1999-08-12,5.969783306121826
1999-08-13,6.047678470611572
1999-08-16,6.000945091247559
1999-08-17,6.066373348236084
1999-08-18,6.028986930847168
1999-08-19,5.960439205169678
1999-08-20,5.944857597351074
1999-08-23,5.972899436950684
1999-08-24,5.957324028015137
1999-08-25,6.041448593139648
1999-08-26,6.044564247131348
1999-08-27,5.963555812835693
1999-08-30,5.882546424865723
1999-08-31,5.835808753967285
1999-09-01,5.8576154708862305
1999-09-02,5.776609420776367
1999-09-03,5.885660648345947
1999-09-07,5.845156192779541
1999-09-08,5.761030673980713
1999-09-09,5.782841205596924
1999-09-10,5.80465030670166
1999-09-13,5.8576154708862305
1999-09-14,5.860735893249512
1999-09-15,5.866968154907227
1999-09-16,5.835808753967285
1999-09-17,5.912012577056885
1999-09-20,5.880616188049316
1999-09-21,5.802123546600342
1999-09-22,5.912012577056885
1999-09-23,5.858640193939209
1999-09-24,5.773869037628174
1999-09-27,5.858640193939209
1999-09-28,5.792704105377197
1999-09-29,5.868058681488037
1999-09-30,5.984226703643799
1999-10-01,5.943412780761719
1999-10-04,6.040739059448242
1999-10-05,5.880616188049316
1999-10-06,5.968531131744385
1999-10-07,5.883757591247559
1999-10-08,5.927713394165039
1999-10-11,5.890036582946777
1999-10-12,5.773869037628174
1999-10-13,5.827243328094482
1999-10-14,5.8649210929870605
1999-10-15,5.72677755355835
1999-10-18,5.770730495452881
1999-10-19,5.70165491104126
1999-10-20,5.711074352264404
1999-10-21,5.623164176940918
1999-10-22,5.692238807678223
1999-10-25,5.629443168640137
1999-10-26,5.663980007171631
1999-10-27,5.811546325683594
1999-10-28,6.028181552886963
1999-10-29,6.015620231628418
1999-11-01,6.072139739990234
1999-11-02,6.015620231628418
1999-11-03,5.946549415588379
1999-11-04,5.915154457092285
1999-11-05,5.96538782119751
1999-11-08,6.003063678741455
1999-11-09,5.915154457092285
1999-11-10,5.940270900726318
1999-11-11,5.921431064605713
1999-11-12,5.940270900726318
1999-11-15,5.912012577056885
1999-11-16,5.899456977844238
1999-11-17,5.943412780761719
1999-11-18,5.899456977844238
1999-11-19,5.9025983810424805
1999-11-22,5.836664199829102
1999-11-23,5.777007579803467
1999-11-24,5.7456135749816895
1999-11-26,5.811546325683594
1999-11-29,5.7456135749816895
1999-11-30,5.817822456359863
1999-12-01,5.846080303192139
1999-12-02,5.811546325683594
1999-12-03,5.924575328826904
1999-12-06,5.883757591247559
1999-12-07,5.927713394165039
1999-12-08,5.880616188049316
1999-12-09,5.886898994445801
1999-12-10,5.842940330505371
1999-12-13,5.839800834655762
1999-12-14,5.836664199829102
1999-12-15,5.861779689788818
1999-12-16,5.802123546600342
1999-12-17,5.877046585083008
1999-12-20,5.741181373596191
1999-12-21,5.8170166015625
1999-12-22,5.801216125488281
1999-12-23,5.829653739929199
1999-12-27,5.674825668334961
1999-12-28,5.725384712219238
1999-12-29,5.640071868896484
1999-12-30,5.640071868896484
1999-12-31,5.690627098083496
2000-01-03,5.551601409912109
2000-01-04,5.384134769439697
2000-01-05,5.520003318786621
2000-01-06,5.510522842407227
2000-01-07,5.557919025421143
2000-01-10,5.576877593994141
2000-01-11,5.516842365264893
2000-01-12,5.459965705871582
2000-01-13,5.409412860870361
2000-01-14,5.453647613525391
2000-01-18,5.431530475616455
2000-01-19,5.4346923828125
2000-01-20,5.459965705871582
2000-01-21,5.636910915374756
2000-01-24,5.561079502105713
2000-01-25,5.431530475616455
2000-01-26,5.406254768371582
2000-01-27,5.371496200561523
2000-01-28,5.34306001663208
2000-01-31,5.589515209197998
2000-02-01,5.548439025878906
2000-02-02,5.520003318786621
2000-02-03,5.510522842407227
2000-02-04,5.4820876121521
2000-02-07,5.466288089752197
2000-02-08,5.478928565979004
2000-02-09,5.478928565979004
2000-02-10,5.399932861328125
2000-02-11,5.305141448974609
2000-02-14,5.311461925506592
2000-02-15,5.298823356628418
2000-02-16,5.27670431137085
2000-02-17,5.245110034942627
2000-02-18,5.052366256713867
2000-02-22,5.033409595489502
2000-02-23,4.929137706756592
2000-02-24,4.764832019805908
2000-02-25,4.739555358886719
2000-02-28,4.875424861907959
2000-02-29,4.910181999206543
2000-03-01,5.125039577484131
2000-03-02,5.25774621963501
2000-03-03,5.305141448974609
2000-03-06,5.1566362380981445
2000-03-07,5.096604347229004
2000-03-08,5.131359577178955
2000-03-09,5.172435760498047
2000-03-10,5.172435760498047
2000-03-13,5.188232898712158
2000-03-14,5.153476238250732
2000-03-15,5.181911468505859
2000-03-16,5.384134769439697
2000-03-17,5.427454471588135
2000-03-20,5.405168056488037
2000-03-21,5.37015438079834
2000-03-22,5.246006488800049
2000-03-23,5.335139274597168
2000-03-24,5.284207820892334
2000-03-27,5.357422828674316
2000-03-28,5.33195686340332
2000-03-29,5.427454471588135
2000-03-30,5.414719581604004
2000-03-31,5.446554183959961
2000-04-03,5.481567859649658
2000-04-04,5.557966709136963
2000-04-05,5.631181240081787
2000-04-06,5.666195869445801
2000-04-07,5.650278568267822
2000-04-10,5.637548446655273
2000-04-11,5.783977031707764
2000-04-12,5.834909915924072
2000-04-13,5.8412766456604
2000-04-14,5.627995014190674
2000-04-17,5.542050361633301
2000-04-18,5.557966709136963
2000-04-19,5.608897686004639
2000-04-20,5.627995014190674
2000-04-24,5.780792713165283
2000-04-25,5.952689170837402
2000-04-26,5.939957618713379
2000-04-27,5.806263446807861
2000-04-28,5.803077697753906
2000-05-01,5.803077697753906
2000-05-02,5.592985153198242
2000-05-03,5.612082004547119
2000-05-04,5.602533340454102
2000-05-05,5.61526346206665
2000-05-08,5.653462886810303
2000-05-09,5.634363651275635
2000-05-10,5.74259614944458
2000-05-11,5.828546047210693
2000-05-12,5.736226558685303
2000-05-15,5.847644329071045
2000-05-16,5.822177886962891
2000-05-17,5.733046531677246
2000-05-18,5.780792713165283
2000-05-19,5.672563552856445
2000-05-22,5.7107648849487305
2000-05-23,5.605717182159424
2000-05-24,5.701211929321289
2000-05-25,5.605717182159424
2000-05-26,5.717127323150635
2000-05-30,5.758509635925293
2000-05-31,5.79034423828125
2000-06-01,5.831725597381592
2000-06-02,5.812624931335449
2000-06-05,5.678929328918457
2000-06-06,5.812624931335449
2000-06-07,5.834909915924072
2000-06-08,5.869925498962402
2000-06-09,5.943140983581543
2000-06-12,5.91767692565918
2000-06-13,6.045003890991211
2000-06-14,6.019540309906006
2000-06-15,5.987705707550049
2000-06-16,5.920810699462891
2000-06-19,6.017034530639648
2000-06-20,5.95288610458374
2000-06-21,5.972130298614502
2000-06-22,5.933642864227295
2000-06-23,5.95288610458374
2000-06-26,5.933642864227295
2000-06-27,5.773275852203369
2000-06-28,5.821384429931641
2000-06-29,5.728371620178223
2000-06-30,5.593661308288574
2000-07-03,5.760443210601807
2000-07-05,5.811764240264893
2000-07-06,5.818178176879883
2000-07-07,5.8791184425354
2000-07-10,5.8791184425354
2000-07-11,5.824589252471924
2000-07-12,5.850253105163574
2000-07-13,5.875908374786377
2000-07-14,5.795726299285889
2000-07-17,5.747615337371826
2000-07-18,5.725164890289307
